SARA_ID,WSCSSDA_ID
SARA_1026,05DD
SARA_1027,05DC
SARA_1027,05DD
SARA_1028,05DD
SARA_1029,05DD
SARA_1030,05AA
SARA_1030,05AB
SARA_1031,05AA
SARA_1031,05AB
SARA_1031,05BL
SARA_1032,05AA
SARA_1032,08NP
SARA_1033,05AA
SARA_1034,05AA
SARA_1034,05AD
SARA_1035,05AD
SARA_1036,05AA
SARA_1036,05AD
SARA_1037,05AD
SARA_1038,05BA
SARA_1038,08NF
SARA_1039,05BA
SARA_1039,05BB
SARA_1040,05BC
SARA_1041,05BB
SARA_1041,05BC
SARA_1042,05BB
SARA_1042,05BE
SARA_1043,05BB
SARA_1043,05BD
SARA_1044,05BC
SARA_1044,05BF
SARA_1044,05BJ
SARA_1044,05BL
SARA_1044,08NF
SARA_1045,05BD
SARA_1045,05BE
SARA_1045,05BG
SARA_1045,05CA
SARA_1045,05CB
SARA_1046,05BF
SARA_1046,05BH
SARA_1047,05BH
SARA_1047,05BJ
SARA_1047,05BL
SARA_1048,05AA
SARA_1048,05BL
SARA_1049,05BL
SARA_1050,05BJ
SARA_1050,05BL
SARA_1051,05CA
SARA_1052,05CA
SARA_1052,05DB
SARA_1053,05CA
SARA_1054,05CA
SARA_1055,05CA
SARA_1056,05BG
SARA_1056,05CA
SARA_1056,05CB
SARA_1057,05CA
SARA_1057,05DB
SARA_1058,05CA
SARA_1058,05CB
SARA_1058,05DB
SARA_1059,05BG
SARA_1059,05CA
SARA_1059,05CB
SARA_1060,05DA
SARA_1060,05DC
SARA_1061,05DA
SARA_1061,05DC
SARA_1062,05DA
SARA_1063,05DA
SARA_1064,05DA
SARA_1064,05DC
SARA_1065,05DA
SARA_1065,05DC
SARA_1066,05DC
SARA_1066,05DD
SARA_1067,05DC
SARA_1068,05DA
SARA_1068,05DB
SARA_1068,05DC
SARA_1069,05DA
SARA_1069,05DC
SARA_1070,05DA
SARA_1070,05DB
SARA_1070,05DC
SARA_1071,05DC
SARA_1072,05DC
SARA_1072,05DD
SARA_1073,05CA
SARA_1073,05DB
SARA_1074,05CA
SARA_1074,05DB
SARA_1075,05DB
SARA_1075,05DC
SARA_1076,05DA
SARA_1076,05DB
SARA_1077,05DB
SARA_1078,05DB
SARA_1078,05DC
SARA_1079,05DC
SARA_1079,05DD
SARA_1080,05DD
SARA_1081,05DD
SARA_1081,07BA
SARA_1082,05DD
SARA_1082,07AA
SARA_1083,05DD
SARA_1083,07AA
SARA_1083,07BA
SARA_1084,05DC
SARA_1084,05DD
SARA_1085,05DD
SARA_1086,05DD
SARA_1087,05DD
SARA_1087,07BA
SARA_1088,05DC
SARA_1088,05DD
SARA_1089,05BL
SARA_1090,05BC
SARA_1091,05BF
SARA_1092,05BF
SARA_1093,05DD
SARA_1094,05DD
SARA_1095,05AD
SARA_1096,05CA
SARA_1097,05BB
SARA_1098,05AA
SARA_1099,05BA
SARA_1100,05BL
SARA_1101,05BG
SARA_1102,05DD
SARA_1103,05BL
SARA_1104,05BF
SARA_1105,05DB
SARA_1106,05DA
SARA_1107,05AD
SARA_1108,05BC
SARA_1109,05DD
SARA_1110,05AA
SARA_1111,05AA
SARA_1112,05AA
SARA_1113,05DD
SARA_1114,05DD
SARA_1115,05BB
SARA_1116,05AA
SARA_1116,05AB
SARA_1117,05DA
SARA_1118,05DA
SARA_1119,05DA
SARA_1120,05AA
SARA_1121,05CA
SARA_1122,05CA
SARA_1123,05CA
SARA_1124,05BL
SARA_1125,05BL
SARA_1126,05CA
SARA_1127,05CA
SARA_1128,05DA
SARA_1129,05CA
SARA_1130,05CA
SARA_1131,05AA
SARA_1132,05BL
SARA_1133,05CA
SARA_1134,05AD
SARA_1135,05BL
SARA_1136,08HA
SARA_1137,210
SARA_1137,02PD
SARA_1137,02PE
SARA_1137,02PG
SARA_1137,02PH
SARA_1138,210
SARA_1138,02PD
SARA_1139,210
SARA_1139,02PD
SARA_1139,02PE
SARA_1139,02PG
SARA_1139,02PH
SARA_1139,02PJ
SARA_1140,210
SARA_1140,02PD
SARA_1141,02GA
SARA_1142,02GA
SARA_1143,02GA
SARA_1144,02GA
SARA_1145,02GB
SARA_1146,02FF
SARA_1147,203
SARA_1147,02FF
SARA_1148,02GA
SARA_1149,02GD
SARA_1150,02GA
SARA_1150,02GB
SARA_1151,02FF
SARA_1152,02GD
SARA_1153,02GD
SARA_1154,02GA
SARA_1155,02GD
SARA_1156,02FA
SARA_1157,02FC
SARA_1158,02GD
SARA_1159,02GD
SARA_1159,02GE
SARA_1160,02GD
SARA_1161,02FE
SARA_1162,203
SARA_1162,02FE
SARA_1163,02FF
SARA_1164,02GB
SARA_1165,02FE
SARA_1166,01DD
SARA_1166,01DE
SARA_1166,01DF
SARA_1166,01DG
SARA_1166,01DH
SARA_1166,01DJ
SARA_1166,01DK
SARA_1167,01DD
SARA_1167,01DF
SARA_1167,01DG
SARA_1167,01DJ
SARA_1167,01DK
SARA_1168,02MA
SARA_1170,05AB
SARA_1172,05BC
SARA_1174,05BA
SARA_1175,05BA
SARA_1176,05BC
SARA_1182,05AA
SARA_1184,05BA
SARA_1185,05AB
SARA_1188,05BC
SARA_1190,05BD
SARA_1191,05BL
SARA_1197,05BD
