Site_ID,Latitude,Longitude,WSCSSDA,PRPWSHID,WQI,WQI_category
2056,49.03829,-122.3867,08MH,BC_103,NA,NA
2057,49.03832,-122.403,08MH,BC_103,NA,NA
2058,49.0386,-114.795,08NK,BC_46,NA,NA
2059,49.03864,-122.4599,08MH,BC_103,NA,NA
2060,49.0389,-122.3808,08MH,BC_103,NA,NA
2061,49.0389,-118.2039,08NN,BC_78,NA,NA
2062,49.0392,-114.7964,08NK,BC_46,NA,NA
2063,49.0397,-118.4731,08NN,BC_78,NA,NA
2064,49.0397,-116.5125,08NH,BC_90,NA,NA
2065,49.03995,-122.4488,08MH,BC_103,NA,NA
2066,49.04,-123.95,08HA,BC_36,NA,NA
2067,49.0402,-119.5613,08NL,BC_184,NA,NA
2068,49.0403,-116.5125,08NH,BC_90,NA,NA
2069,49.0404,-116.5102,08NH,BC_90,NA,NA
2070,49.0405,-116.5115,08NH,BC_90,NA,NA
2071,49.0407,-117.363,08NE,BC_96,NA,NA
2072,49.0407,-114.509,08NP,BC_46,NA,NA
2073,49.04071,-122.6715,08MH,BC_103,NA,NA
2074,49.04074,-122.6714,08MH,BC_103,NA,NA
2075,49.04074,-122.3672,08MH,BC_103,NA,NA
2076,49.0408,-116.5075,08NH,BC_90,NA,NA
2077,49.04132,-122.2218,08MH,BC_28,NA,NA
2078,49.04137,-122.6783,08MH,BC_103,NA,NA
2079,49.0414,-116.5114,08NH,BC_90,NA,NA
2080,49.042,-123.772,08HA,BC_36,NA,NA
2081,49.0421,-114.5108,08NP,BC_46,NA,NA
2082,49.04214,-122.3815,08MH,BC_103,NA,NA
2083,49.04251,-122.675,08MH,BC_103,NA,NA
2084,49.0426,-116.5098,08NH,BC_90,NA,NA
2085,49.0427,-114.5104,08NP,BC_46,NA,NA
2086,49.0428,-118.8766,08NN,BC_78,NA,NA
2087,49.0428,-118.2069,08NN,BC_78,NA,NA
2088,49.043,-123.8122,08HA,BC_36,NA,NA
2089,49.0431,-116.5108,08NH,BC_90,NA,NA
2090,49.04351,-118.2198,08NN,BC_78,NA,NA
2091,49.04374,-118.2224,08NN,BC_78,NA,NA
2092,49.04389,-99.33583,05OA,NA,NA,NA
2093,49.04391,-118.2112,08NN,BC_78,NA,NA
2094,49.04403,-98.96386,05OB,NA,NA,NA
2095,49.04404,-122.6723,08MH,BC_103,NA,NA
2096,49.04444,-122.6258,08MH,BC_103,NA,NA
2097,49.04451,-116.5682,08NH,BC_90,NA,NA
2098,49.04455,-119.473,08NM,BC_161,NA,NA
2099,49.04469,-119.4788,08NM,BC_161,NA,NA
2100,49.0447,-123.8722,08HA,BC_36,NA,NA
2101,49.04492,-97.69533,05OC,NA,NA,NA
2102,49.04494,-122.3118,08MH,BC_103,NA,NA
2103,49.04503,-116.5103,08NH,BC_90,NA,NA
2104,49.04532659,-95.64111628,05OD,NA,NA,NA
2105,49.04543,-122.4687,08MH,BC_103,NA,NA
2106,49.04544,-123.8745,08HA,BC_36,NA,NA
2107,49.04547,-123.8745,08HA,BC_36,NA,NA
2108,49.04572,-123.8818,08HA,BC_36,NA,NA
2109,49.04573,-122.3952,08MH,BC_103,67.15295839083393,Fair
2110,49.0458,-122.185,08MH,BC_28,NA,NA
2111,49.0458,-114.82470000000001,08NK,BC_46,NA,NA
2112,49.04583,-122.4596,08MH,BC_103,NA,NA
2113,49.04591,-122.5621,08MH,BC_103,NA,NA
2114,49.04605,-122.6473,08MH,BC_103,NA,NA
2115,49.04611,-122.6783,08MH,BC_103,NA,NA
2116,49.04611,-122.3327,08MH,BC_103,NA,NA
2117,49.04621,-122.3326,08MH,BC_103,NA,NA
2118,49.0464,-122.3297,08MH,BC_103,NA,NA
2119,49.0464,-119.4764,08NM,BC_161,NA,NA
2120,49.04644,-122.3294,08MH,BC_103,NA,NA
2121,49.04646,-122.3292,08MH,BC_103,NA,NA
2122,49.04656,-122.3294,08MH,BC_103,NA,NA
2123,49.04661,-122.3294,08MH,BC_103,NA,NA
2124,49.04683,-122.4871,08MH,BC_103,NA,NA
2125,49.0471,-122.4713,08MH,BC_103,NA,NA
2126,49.04718,-123.886,08HA,BC_36,NA,NA
2127,49.0472,-122.1831,08MH,BC_28,NA,NA
2128,49.0472,-120.19,08NL,BC_184,NA,NA
2129,49.04732,-123.8894,08HA,BC_36,NA,NA
2130,49.0474,-120.1966,08NL,BC_184,NA,NA
2131,49.0475,-123.8912,08HA,BC_36,NA,NA
2132,49.04775,-123.8833,08HA,BC_36,NA,NA
2133,49.048,-123.8821,08HA,BC_36,NA,NA
2134,49.04803,-123.881,08HA,BC_36,NA,NA
2135,49.04804,-123.8859,08HA,BC_36,NA,NA
2136,49.04829,-118.2112,08NN,BC_78,NA,NA
2137,49.0483,-122.4664,08MH,BC_103,NA,NA
2138,49.04867,-99.32339,05OA,NA,NA,NA
2139,49.04893,-123.8821,08HA,BC_36,NA,NA
2140,49.04907,-97.01025,05OD,NA,NA,NA
2141,49.04917,-123.8823,08HA,BC_36,NA,NA
2142,49.0492,-118.4192,08NN,BC_78,NA,NA
2143,49.0492,-114.8161,08NK,BC_46,NA,NA
2144,49.04937,-123.8851,08HA,BC_36,NA,NA
2145,49.0499,-118.2707,08NN,BC_78,NA,NA
2146,49.04995,-118.2071,08NN,BC_78,NA,NA
2147,49.04997,-123.8815,08HA,BC_36,NA,NA
2148,49.05001,-122.472,08MH,BC_103,NA,NA
2149,49.05044,-122.4631,08MH,BC_103,NA,NA
