En_Name,Bio_Zone_Code,PRV_WSHD_I,NHN_TWS_ID
Western Arctic,101,BC_53,NA
Pacific,81,BC_54,NA
Pacific,81,BC_55,NA
Western Arctic,101,BC_56,NA
Western Arctic,101,BC_57,NA
Yukon,9,BC_58,NA
Pacific Islands,82,BC_59,NA
Pacific,81,BC_6,NA
Pacific Islands,82,BC_60,NA
Pacific,81,BC_61,NA
Pacific,81,BC_62,NA
Pacific,81,BC_63,NA
Western Arctic,101,BC_64,NA
Pacific,81,BC_65,NA
Pacific Islands,82,BC_66,NA
Pacific,81,BC_67,NA
Pacific,81,BC_68,NA
Western Arctic,101,BC_69,NA
Pacific,81,BC_7,NA
Pacific,81,BC_70,NA
Pacific,81,BC_71,NA
Yukon,9,BC_72,NA
Pacific,81,BC_73,NA
Western Arctic,101,BC_74,NA
Pacific,81,BC_75,NA
Western Arctic,101,BC_76,NA
Pacific,81,BC_77,NA
Pacific,81,BC_78,NA
Pacific,81,BC_79,NA
Pacific,81,BC_8,NA
Pacific,81,BC_80,NA
Pacific,81,BC_81,NA
Western Arctic,101,BC_82,NA
Pacific,81,BC_83,NA
Pacific,81,BC_84,NA
Pacific,81,BC_85,NA
Pacific,81,BC_86,NA
Pacific,81,BC_87,NA
Pacific,81,BC_88,NA
Pacific,81,BC_89,NA
Western Arctic,101,BC_9,NA
Pacific,81,BC_90,NA
Pacific,81,BC_91,NA
Pacific,81,BC_92,NA
Pacific,81,BC_93,NA
Pacific,81,BC_94,NA
Yukon,9,BC_95,NA
Pacific,81,BC_96,NA
Pacific,81,BC_97,NA
Western Arctic,101,BC_98,NA
Pacific,81,BC_99,NA
Great Lakes - Upper St. Lawrence,23,ON-023F-01,NA
Great Lakes - Upper St. Lawrence,23,ON-023F-02,NA
Great Lakes - Upper St. Lawrence,23,ON-023F-03,NA
Great Lakes - Upper St. Lawrence,23,ON-023F-04,NA
Great Lakes - Upper St. Lawrence,23,ON-029A-01,NA
Great Lakes - Upper St. Lawrence,23,ON-029B-01,NA
Great Lakes - Upper St. Lawrence,23,ON-029B-02,NA
Great Lakes - Upper St. Lawrence,23,ON-029C-01,NA
Great Lakes - Upper St. Lawrence,23,ON-029C-02,NA
Great Lakes - Upper St. Lawrence,23,ON-029C-03,NA
Great Lakes - Upper St. Lawrence,23,ON-02AA-01,NA
Great Lakes - Upper St. Lawrence,23,ON-02AA-02,NA
Great Lakes - Upper St. Lawrence,23,ON-02AA-03,NA
Great Lakes - Upper St. Lawrence,23,ON-02AB-01,NA
Great Lakes - Upper St. Lawrence,23,ON-02AB-02,NA
Great Lakes - Upper St. Lawrence,23,ON-02AB-03,NA
Great Lakes - Upper St. Lawrence,23,ON-02AB-04,NA
Great Lakes - Upper St. Lawrence,23,ON-02AB-05,NA
Great Lakes - Upper St. Lawrence,23,ON-02AB-06,NA
Great Lakes - Upper St. Lawrence,23,ON-02AB-07,NA
Great Lakes - Upper St. Lawrence,23,ON-02AB-08,NA
Great Lakes - Upper St. Lawrence,23,ON-02AB-09,NA
Great Lakes - Upper St. Lawrence,23,ON-02AB-10,NA
Great Lakes - Upper St. Lawrence,23,ON-02AB-11,NA
Great Lakes - Upper St. Lawrence,23,ON-02AB-12,NA
Great Lakes - Upper St. Lawrence,23,ON-02AB-13,NA
Great Lakes - Upper St. Lawrence,23,ON-02AB-14,NA
